src,dest,EdgeType
CASP3-Epi,CASP3-Geno,Gene-Epi-Gene-Geno
CASP4-Epi,CASP4-Geno,Gene-Epi-Gene-Geno
CASP5-Epi,CASP5-Geno,Gene-Epi-Gene-Geno
CASP7-Epi,CASP7-Geno,Gene-Epi-Gene-Geno
CASP8-Epi,CASP8-Geno,Gene-Epi-Gene-Geno
CASP9-Epi,CASP9-Geno,Gene-Epi-Gene-Geno
CASQ1-Epi,CASQ1-Geno,Gene-Epi-Gene-Geno
CASQ2-Epi,CASQ2-Geno,Gene-Epi-Gene-Geno
CASR-Epi,CASR-Geno,Gene-Epi-Gene-Geno
CAT-Epi,CAT-Geno,Gene-Epi-Gene-Geno
CBL-Epi,CBL-Geno,Gene-Epi-Gene-Geno
CBLB-Epi,CBLB-Geno,Gene-Epi-Gene-Geno
CCKAR-Epi,CCKAR-Geno,Gene-Epi-Gene-Geno
CCKBR-Epi,CCKBR-Geno,Gene-Epi-Gene-Geno
CCL1-Epi,CCL1-Geno,Gene-Epi-Gene-Geno
CCL11-Epi,CCL11-Geno,Gene-Epi-Gene-Geno
CCL13-Epi,CCL13-Geno,Gene-Epi-Gene-Geno
CCL14-Epi,CCL14-Geno,Gene-Epi-Gene-Geno
CCL15-Epi,CCL15-Geno,Gene-Epi-Gene-Geno
CCL16-Epi,CCL16-Geno,Gene-Epi-Gene-Geno
CCL17-Epi,CCL17-Geno,Gene-Epi-Gene-Geno
CCL18-Epi,CCL18-Geno,Gene-Epi-Gene-Geno
CCL19-Epi,CCL19-Geno,Gene-Epi-Gene-Geno
CCL2-Epi,CCL2-Geno,Gene-Epi-Gene-Geno
CCL20-Epi,CCL20-Geno,Gene-Epi-Gene-Geno
CCL21-Epi,CCL21-Geno,Gene-Epi-Gene-Geno
CCL22-Epi,CCL22-Geno,Gene-Epi-Gene-Geno
CCL23-Epi,CCL23-Geno,Gene-Epi-Gene-Geno
CCL24-Epi,CCL24-Geno,Gene-Epi-Gene-Geno
CCL25-Epi,CCL25-Geno,Gene-Epi-Gene-Geno
CCL26-Epi,CCL26-Geno,Gene-Epi-Gene-Geno
CCL27-Epi,CCL27-Geno,Gene-Epi-Gene-Geno
CCL28-Epi,CCL28-Geno,Gene-Epi-Gene-Geno
CCL3-Epi,CCL3-Geno,Gene-Epi-Gene-Geno
CCL3L1-Epi,CCL3L1-Geno,Gene-Epi-Gene-Geno
CCL3L3-Epi,CCL3L3-Geno,Gene-Epi-Gene-Geno
CCL4-Epi,CCL4-Geno,Gene-Epi-Gene-Geno
CCL4L1-Epi,CCL4L1-Geno,Gene-Epi-Gene-Geno
CCL4L2-Epi,CCL4L2-Geno,Gene-Epi-Gene-Geno
CCL5-Epi,CCL5-Geno,Gene-Epi-Gene-Geno
CCL7-Epi,CCL7-Geno,Gene-Epi-Gene-Geno
CCL8-Epi,CCL8-Geno,Gene-Epi-Gene-Geno
CCNA1-Epi,CCNA1-Geno,Gene-Epi-Gene-Geno
CCNA2-Epi,CCNA2-Geno,Gene-Epi-Gene-Geno
CCNB1-Epi,CCNB1-Geno,Gene-Epi-Gene-Geno
CCNB2-Epi,CCNB2-Geno,Gene-Epi-Gene-Geno
CCNB3-Epi,CCNB3-Geno,Gene-Epi-Gene-Geno
CCND1-Epi,CCND1-Geno,Gene-Epi-Gene-Geno
CCND2-Epi,CCND2-Geno,Gene-Epi-Gene-Geno
CCND3-Epi,CCND3-Geno,Gene-Epi-Gene-Geno
CCNE1-Epi,CCNE1-Geno,Gene-Epi-Gene-Geno
CCNE2-Epi,CCNE2-Geno,Gene-Epi-Gene-Geno
CCNG1-Epi,CCNG1-Geno,Gene-Epi-Gene-Geno
CCNG2-Epi,CCNG2-Geno,Gene-Epi-Gene-Geno
CCR1-Epi,CCR1-Geno,Gene-Epi-Gene-Geno
CCR10-Epi,CCR10-Geno,Gene-Epi-Gene-Geno
CCR2-Epi,CCR2-Geno,Gene-Epi-Gene-Geno
CCR3-Epi,CCR3-Geno,Gene-Epi-Gene-Geno
CCR4-Epi,CCR4-Geno,Gene-Epi-Gene-Geno
CCR5-Epi,CCR5-Geno,Gene-Epi-Gene-Geno
CCR6-Epi,CCR6-Geno,Gene-Epi-Gene-Geno
CCR7-Epi,CCR7-Geno,Gene-Epi-Gene-Geno
CCR8-Epi,CCR8-Geno,Gene-Epi-Gene-Geno
CCR9-Epi,CCR9-Geno,Gene-Epi-Gene-Geno
CD14-Epi,CD14-Geno,Gene-Epi-Gene-Geno
CD19-Epi,CD19-Geno,Gene-Epi-Gene-Geno
CD209-Epi,CD209-Geno,Gene-Epi-Gene-Geno
CD22-Epi,CD22-Geno,Gene-Epi-Gene-Geno
CD247-Epi,CD247-Geno,Gene-Epi-Gene-Geno
CD28-Epi,CD28-Geno,Gene-Epi-Gene-Geno
CD36-Epi,CD36-Geno,Gene-Epi-Gene-Geno
CD38-Epi,CD38-Geno,Gene-Epi-Gene-Geno
CD3E-Epi,CD3E-Geno,Gene-Epi-Gene-Geno
CD4-Epi,CD4-Geno,Gene-Epi-Gene-Geno
