src,dest,EdgeType
6429,7922,Gene-Prot-Gene-Prot
6429,7923,Gene-Prot-Gene-Prot
6429,7924,Gene-Prot-Gene-Prot
6429,7925,Gene-Prot-Gene-Prot
6429,7926,Gene-Prot-Gene-Prot
6429,7927,Gene-Prot-Gene-Prot
6429,8031,Gene-Prot-Gene-Prot
6429,8077,Gene-Prot-Gene-Prot
6429,8209,Gene-Prot-Gene-Prot
6429,8296,Gene-Prot-Gene-Prot
6429,8297,Gene-Prot-Gene-Prot
6429,8406,Gene-Prot-Gene-Prot
6429,8407,Gene-Prot-Gene-Prot
6430,6428,Gene-Prot-Gene-Prot
6430,6469,Gene-Prot-Gene-Prot
6430,6470,Gene-Prot-Gene-Prot
6430,6471,Gene-Prot-Gene-Prot
6430,6514,Gene-Prot-Gene-Prot
6430,6521,Gene-Prot-Gene-Prot
6430,6551,Gene-Prot-Gene-Prot
6430,6619,Gene-Prot-Gene-Prot
6430,6706,Gene-Prot-Gene-Prot
6430,6707,Gene-Prot-Gene-Prot
6430,6727,Gene-Prot-Gene-Prot
6430,6769,Gene-Prot-Gene-Prot
6430,6770,Gene-Prot-Gene-Prot
6430,6771,Gene-Prot-Gene-Prot
6430,6772,Gene-Prot-Gene-Prot
6430,6773,Gene-Prot-Gene-Prot
6430,6774,Gene-Prot-Gene-Prot
6430,6775,Gene-Prot-Gene-Prot
6430,7040,Gene-Prot-Gene-Prot
6430,7041,Gene-Prot-Gene-Prot
6430,7042,Gene-Prot-Gene-Prot
6430,7043,Gene-Prot-Gene-Prot
6430,7171,Gene-Prot-Gene-Prot
6430,7172,Gene-Prot-Gene-Prot
6430,7280,Gene-Prot-Gene-Prot
6430,7282,Gene-Prot-Gene-Prot
6430,7555,Gene-Prot-Gene-Prot
6430,7567,Gene-Prot-Gene-Prot
6430,7570,Gene-Prot-Gene-Prot
6430,7575,Gene-Prot-Gene-Prot
6430,7582,Gene-Prot-Gene-Prot
6430,7604,Gene-Prot-Gene-Prot
6430,7653,Gene-Prot-Gene-Prot
6430,7693,Gene-Prot-Gene-Prot
6430,7695,Gene-Prot-Gene-Prot
6430,7696,Gene-Prot-Gene-Prot
6430,7697,Gene-Prot-Gene-Prot
6430,7714,Gene-Prot-Gene-Prot
6430,7715,Gene-Prot-Gene-Prot
6430,7716,Gene-Prot-Gene-Prot
6430,7734,Gene-Prot-Gene-Prot
6430,7787,Gene-Prot-Gene-Prot
6430,7807,Gene-Prot-Gene-Prot
6430,7915,Gene-Prot-Gene-Prot
6430,7916,Gene-Prot-Gene-Prot
6430,7917,Gene-Prot-Gene-Prot
6430,7922,Gene-Prot-Gene-Prot
6430,7923,Gene-Prot-Gene-Prot
6430,7924,Gene-Prot-Gene-Prot
6430,7925,Gene-Prot-Gene-Prot
6430,7926,Gene-Prot-Gene-Prot
6430,7927,Gene-Prot-Gene-Prot
6430,8031,Gene-Prot-Gene-Prot
6430,8077,Gene-Prot-Gene-Prot
6430,8209,Gene-Prot-Gene-Prot
6430,8296,Gene-Prot-Gene-Prot
6430,8297,Gene-Prot-Gene-Prot
6430,8406,Gene-Prot-Gene-Prot
6430,8407,Gene-Prot-Gene-Prot
6434,6435,Gene-Prot-Gene-Prot
6434,6544,Gene-Prot-Gene-Prot
6434,6545,Gene-Prot-Gene-Prot
6434,6546,Gene-Prot-Gene-Prot
6436,8466,Gene-Prot-Gene-Prot
6436,8471,Gene-Prot-Gene-Prot
6437,7302,Gene-Prot-Gene-Prot
6437,7304,Gene-Prot-Gene-Prot
6437,8365,Gene-Prot-Gene-Prot
6437,8398,Gene-Prot-Gene-Prot
6438,6782,Gene-Prot-Gene-Prot
6438,6934,Gene-Prot-Gene-Prot
6438,6959,Gene-Prot-Gene-Prot
6438,6962,Gene-Prot-Gene-Prot
6438,6963,Gene-Prot-Gene-Prot
6438,6964,Gene-Prot-Gene-Prot
6438,7017,Gene-Prot-Gene-Prot
6438,7018,Gene-Prot-Gene-Prot
6438,7019,Gene-Prot-Gene-Prot
6438,7020,Gene-Prot-Gene-Prot
6438,7029,Gene-Prot-Gene-Prot
6438,7030,Gene-Prot-Gene-Prot
6438,7032,Gene-Prot-Gene-Prot
6438,7276,Gene-Prot-Gene-Prot
6438,7353,Gene-Prot-Gene-Prot
6438,7426,Gene-Prot-Gene-Prot
6438,7430,Gene-Prot-Gene-Prot
6438,7627,Gene-Prot-Gene-Prot
6438,7699,Gene-Prot-Gene-Prot
6438,7744,Gene-Prot-Gene-Prot
6438,7745,Gene-Prot-Gene-Prot
6438,7796,Gene-Prot-Gene-Prot
6438,7797,Gene-Prot-Gene-Prot
6438,8316,Gene-Prot-Gene-Prot
6439,6782,Gene-Prot-Gene-Prot
6439,6934,Gene-Prot-Gene-Prot
6439,6959,Gene-Prot-Gene-Prot
6439,6962,Gene-Prot-Gene-Prot
6439,6963,Gene-Prot-Gene-Prot
6439,6964,Gene-Prot-Gene-Prot
6439,7017,Gene-Prot-Gene-Prot
6439,7018,Gene-Prot-Gene-Prot
6439,7019,Gene-Prot-Gene-Prot
6439,7020,Gene-Prot-Gene-Prot
6439,7029,Gene-Prot-Gene-Prot
6439,7030,Gene-Prot-Gene-Prot
6439,7032,Gene-Prot-Gene-Prot
6439,7276,Gene-Prot-Gene-Prot
6439,7353,Gene-Prot-Gene-Prot
6439,7426,Gene-Prot-Gene-Prot
6439,7430,Gene-Prot-Gene-Prot
6439,7627,Gene-Prot-Gene-Prot
6439,7699,Gene-Prot-Gene-Prot
6439,7744,Gene-Prot-Gene-Prot
6439,7745,Gene-Prot-Gene-Prot
6439,7796,Gene-Prot-Gene-Prot
6439,7797,Gene-Prot-Gene-Prot
6439,8316,Gene-Prot-Gene-Prot
6440,6782,Gene-Prot-Gene-Prot
6440,6934,Gene-Prot-Gene-Prot
6440,6959,Gene-Prot-Gene-Prot
6440,6962,Gene-Prot-Gene-Prot
6440,6963,Gene-Prot-Gene-Prot
6440,6964,Gene-Prot-Gene-Prot
6440,7017,Gene-Prot-Gene-Prot
6440,7018,Gene-Prot-Gene-Prot
6440,7019,Gene-Prot-Gene-Prot
6440,7020,Gene-Prot-Gene-Prot
6440,7029,Gene-Prot-Gene-Prot
6440,7030,Gene-Prot-Gene-Prot
6440,7032,Gene-Prot-Gene-Prot
6440,7276,Gene-Prot-Gene-Prot
6440,7353,Gene-Prot-Gene-Prot
6440,7426,Gene-Prot-Gene-Prot
6440,7430,Gene-Prot-Gene-Prot
6440,7627,Gene-Prot-Gene-Prot
6440,7699,Gene-Prot-Gene-Prot
6440,7744,Gene-Prot-Gene-Prot
6440,7745,Gene-Prot-Gene-Prot
6440,7796,Gene-Prot-Gene-Prot
6440,7797,Gene-Prot-Gene-Prot
6440,8316,Gene-Prot-Gene-Prot
6443,6619,Gene-Prot-Gene-Prot
6444,6953,Gene-Prot-Gene-Prot
6444,6973,Gene-Prot-Gene-Prot
6444,7813,Gene-Prot-Gene-Prot
6444,7814,Gene-Prot-Gene-Prot
6444,7815,Gene-Prot-Gene-Prot
6444,7816,Gene-Prot-Gene-Prot
6444,8352,Gene-Prot-Gene-Prot
6444,8353,Gene-Prot-Gene-Prot
6444,8424,Gene-Prot-Gene-Prot
6445,6511,Gene-Prot-Gene-Prot
6445,6512,Gene-Prot-Gene-Prot
6445,6809,Gene-Prot-Gene-Prot
6445,6909,Gene-Prot-Gene-Prot
6445,6910,Gene-Prot-Gene-Prot
6445,6911,Gene-Prot-Gene-Prot
6445,8199,Gene-Prot-Gene-Prot
6445,8306,Gene-Prot-Gene-Prot
6446,6445,Gene-Prot-Gene-Prot
6446,6511,Gene-Prot-Gene-Prot
6446,6512,Gene-Prot-Gene-Prot
